,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
s_segment_0_837,0.0027,0.0002,0,0.5921,0.003,0.0001,0.1919,0.1452,0.001,0.0003,0.0635
s_segment_0_852,0.0447,0,0.0014,0.6442,0,0.2551,0.0492,0,0,0.0053,0.0001
s_segment_0_855,0.0001,0.0048,0.0002,0.1934,0.0035,0.0013,0.2261,0.0736,0.1761,0.3206,0.0003
s_segment_0_856,0.0033,0.0002,0.1743,0.4983,0.005,0.302,0.0003,0.0048,0.0011,0.0101,0.0006
s_segment_0_877,0.0164,0.0003,0.0086,0.2193,0.0074,0.1917,0.2454,0.0182,0.0902,0.1819,0.0206
s_segment_0_899,0,0.0002,0.0064,0.8476,0.0008,0.0008,0,0.0295,0.0001,0.0243,0.0903
s_segment_0_913,0.0001,0.0001,0,0.416,0.0798,0,0.0013,0.5008,0.0018,0,0.0001
s_segment_0_943,0.0045,0.0404,0.0009,0.8345,0.0048,0.0172,0.0954,0.0001,0.0006,0.0013,0.0003
s_segment_0_953,0.005,0.0018,0.0008,0.338,0.0001,0.3835,0.0115,0.2583,0.0005,0,0.0005
s_segment_0_978,0.0176,0.1368,0.0019,0.5915,0.0037,0.0027,0.124,0.0608,0.0002,0.0513,0.0095
s_segment_0_998,0.0106,0.0496,0.0405,0.3451,0.0006,0.0097,0.0486,0.3639,0.1255,0.0007,0.0052
s_segment_1_1,0.0089,0.0646,0,0.0543,0.0001,0.0008,0.4414,0.3037,0.0001,0.0919,0.0342
s_segment_1_1005,0.0097,0.0042,0.1641,0.3939,0.0256,0.0517,0.3064,0,0.0184,0.0004,0.0256
s_segment_1_102,0.0101,0.0007,0.0035,0.2044,0.0009,0.1982,0.0028,0.5631,0.0003,0.0002,0.0158
s_segment_1_1041,0.0001,0,0.0042,0.6932,0.0003,0.0018,0.0086,0.2485,0.0042,0,0.0391
s_segment_1_1053,0.0867,0.0237,0,0.4514,0.0003,0.3498,0.0001,0,0.02,0.0349,0.0331
s_segment_1_1067,0.0107,0.0931,0.0007,0.0001,0.01,0.0011,0.3132,0.5711,0,0,0
s_segment_1_1104,0.0001,0.0035,0,0.7689,0.0009,0,0.0336,0.0001,0.1925,0.0004,0
s_segment_1_1112,0.0003,0.0006,0.0003,0.1178,0.0234,0.1092,0.4469,0.1701,0.0077,0.1236,0.0001
s_segment_1_1153,0.005,0,0,0.6129,0.0001,0.0001,0.006,0.3747,0,0.0008,0.0004
s_segment_1_1160,0.0002,0.0008,0.0011,0.7021,0.0005,0.1343,0,0.0542,0.0267,0.0801,0
s_segment_1_1179,0.0011,0,0.0006,0.4635,0.0089,0.4214,0.0065,0.0012,0.0468,0.0022,0.0478
s_segment_1_1188,0.0102,0.0006,0.0002,0.6548,0.001,0.0802,0.0004,0.1324,0.0001,0.081,0.0391
s_segment_1_1237,0.0746,0,0.0001,0.241,0.0186,0.2297,0.2187,0.001,0.0002,0.2109,0.0052
s_segment_1_124,0.0001,0.0001,0.0002,0.451,0,0.0027,0.4918,0.0047,0.0239,0.0228,0.0027
s_segment_1_1267,0,0.0004,0.0061,0.7776,0,0.0003,0.1845,0.0178,0.0112,0.0001,0.002
s_segment_1_1297,0.0001,0.0012,0.0315,0.7311,0.0488,0.1251,0.0593,0.0014,0.0001,0.0012,0.0002
s_segment_1_1303,0.0059,0.0238,0.0053,0.8001,0.0006,0.0042,0,0.1305,0.0006,0.0107,0.0183
s_segment_1_1315,0.0047,0.0006,0.0001,0.7377,0.0073,0.2373,0.0019,0.0002,0.0001,0.001,0.0091
s_segment_1_1352,0.0001,0.0005,0.0037,0,0.0058,0.0126,0.4222,0.5536,0,0.0001,0.0014
s_segment_1_1354,0.0006,0.0286,0.0004,0.6115,0.0559,0.0411,0.0002,0.2606,0.0007,0,0.0004
s_segment_1_1379,0.0145,0.001,0.0005,0.7851,0.0385,0.0005,0.141,0.0032,0.0151,0.0005,0.0001
s_segment_1_1397,0,0,0.0001,0.3263,0.0078,0.5043,0,0.1615,0,0,0
s_segment_1_1462,0.0002,0,0.0813,0.3088,0.0002,0.5782,0.0003,0,0.0021,0.0289,0
s_segment_1_150,0.0003,0.0001,0.1003,0.3839,0.0321,0.0175,0.4557,0.0003,0.0003,0,0.0095
s_segment_1_1500,0.0001,0.001,0.0082,0.5353,0.0045,0.0342,0.192,0.0249,0.0001,0.1806,0.0191
s_segment_1_1508,0.0574,0.0001,0,0.0509,0,0.3463,0.0913,0.4536,0,0.0002,0.0002
s_segment_1_1549,0.0303,0,0,0.7283,0.0001,0.2372,0,0.0002,0.0038,0.0001,0
s_segment_1_155,0.0013,0.0503,0.0055,0.3465,0.0023,0.1903,0.0003,0.0131,0.3815,0.0014,0.0075
s_segment_1_1589,0.0165,0.1215,0.0864,0.173,0.0017,0.0479,0.0711,0.4187,0.0123,0.0394,0.0115
s_segment_1_1601,0.0031,0.0221,0.0638,0.3768,0.0037,0.4167,0.0031,0.0004,0.0813,0.0004,0.0286
s_segment_1_1613,0.0002,0.0051,0.0001,0.6571,0.0166,0.1187,0.0922,0.0541,0.0199,0.0269,0.0091
s_segment_1_1626,0.0002,0.0004,0.0008,0,0.0006,0.0574,0.1171,0.4319,0.0028,0.3886,0.0002
s_segment_1_166,0.0001,0.0482,0.1533,0.3738,0.0004,0.1673,0.0008,0.1817,0.0429,0.002,0.0295
s_segment_1_1665,0.0975,0.165,0.0075,0.3281,0.0172,0.0053,0.0904,0.2765,0.0014,0.0031,0.008
s_segment_1_1667,0.0036,0.0017,0.0001,0.971,0,0.0004,0.0096,0.0015,0.0003,0.0009,0.0109
s_segment_1_1668,0.0017,0.0028,0.0025,0.8591,0.001,0.0012,0.0016,0.0003,0.1275,0.002,0.0003
s_segment_1_167,0.0001,0,0.0131,0.0376,0.0001,0.0294,0.6467,0.2138,0.0578,0.0014,0
s_segment_1_1673,0.0002,0.2435,0.0152,0.5574,0.0013,0.1175,0.0086,0.0406,0.0015,0.0005,0.0137
s_segment_1_1690,0.0001,0.0811,0.0001,0.5414,0.0334,0.0696,0.001,0.1377,0.12,0.0003,0.0153
s_segment_1_1706,0.0022,0.0018,0,0.6891,0.0016,0.0009,0.0006,0.001,0.0015,0.2871,0.0142
s_segment_1_1772,0.0438,0.0276,0.0163,0.7951,0.016,0.0507,0.0061,0.0147,0.0037,0.0235,0.0025
s_segment_1_1798,0.0131,0.0001,0.0707,0.55,0,0.0002,0,0.0122,0.001,0.3527,0
s_segment_1_1832,0,0,0.0561,0.5393,0,0.3792,0,0.0181,0.0001,0,0.0072
s_segment_1_1839,0.1945,0.0037,0.005,0.6531,0.0057,0.0015,0.0042,0.0004,0.0786,0.0147,0.0386
s_segment_1_1855,0.0805,0,0.0196,0.4359,0.1253,0.0607,0.1182,0.0067,0.1513,0.0011,0.0007
s_segment_1_1856,0.0007,0.0054,0.1694,0.5294,0.0598,0.1231,0.0027,0.0451,0.0223,0.0159,0.0262
s_segment_1_1900,0.0002,0.0001,0.0002,0.3236,0.0001,0.6451,0,0,0.0289,0.0004,0.0014
s_segment_1_1920,0,0.0003,0.0001,0.7965,0.0016,0.026,0.0326,0.0007,0.0349,0.0002,0.1071
s_segment_1_197,0.0543,0.0023,0.0001,0.461,0.0008,0.0024,0.0003,0.4122,0,0.0013,0.0653
s_segment_1_2043,0,0.0011,0.0008,0.8103,0,0.0001,0.0063,0,0.1693,0.0121,0
s_segment_1_2044,0.0068,0.0672,0.0042,0.6276,0.0004,0.0001,0,0.2384,0.0001,0,0.0552
s_segment_1_2046,0.0011,0.001,0.0054,0.3282,0.0102,0.0031,0.214,0.0151,0.0169,0.4005,0.0045
s_segment_1_2051,0.0025,0,0,0.7901,0.0001,0.0029,0.0932,0.0005,0,0.1064,0.0043
s_segment_1_2060,0.0014,0.0598,0.0026,0.3484,0.0002,0.5478,0.0002,0.0355,0,0.0039,0.0002
s_segment_1_214,0.0036,0,0,0.9623,0,0,0,0.0001,0,0.0338,0.0002
s_segment_1_2174,0.0001,0.0145,0.0049,0.2219,0.0004,0.0133,0.0001,0.505,0.2388,0.0001,0.0009
s_segment_1_2199,0.1924,0.0008,0.0078,0.5735,0.0063,0.0817,0.0005,0.0711,0.0015,0.0545,0.0099
s_segment_1_2248,0.0027,0.0404,0.0027,0.661,0.0115,0.0324,0.0007,0.2317,0.0138,0.001,0.0021
s_segment_1_2265,0.0108,0.002,0,0.359,0.0024,0.4435,0.0389,0.0004,0.1114,0.0314,0.0002
s_segment_1_2290,0.0002,0.0101,0.1539,0.7439,0.0142,0.0166,0.0001,0.0308,0,0.013,0.0172
s_segment_1_2301,0,0,0.0066,0.6183,0.0333,0.0001,0,0.1547,0.0136,0.1733,0.0001
s_segment_1_2343,0.001,0,0.0036,0.2402,0.001,0.4426,0.0243,0.041,0.2034,0.0025,0.0404
s_segment_1_2350,0,0.0002,0.1036,0.442,0.0017,0.4009,0.0168,0.0003,0.0331,0.0014,0
s_segment_1_2371,0,0.0208,0,0.8236,0.0316,0.1238,0,0.0001,0.0001,0,0
s_segment_1_2395,0,0.0005,0,0.8546,0.0007,0.0001,0,0.1441,0,0,0
s_segment_1_2416,0.0308,0.0003,0.0236,0.0558,0.0294,0.2073,0.1582,0.4851,0,0.0008,0.0087
s_segment_1_2459,0.0002,0,0.0802,0.4501,0.0001,0.1995,0.0987,0.0003,0.1709,0,0
s_segment_1_2465,0.1304,0.0001,0.0021,0.6731,0.0009,0.0023,0.0942,0.0002,0.0004,0.0012,0.0951
s_segment_1_2471,0,0.0002,0.0015,0.1939,0.0002,0.17,0.0017,0.622,0,0.0104,0.0001
s_segment_1_2474,0.0075,0.0001,0,0.815,0.0092,0.0002,0.0026,0.0112,0.0107,0,0.1435
s_segment_1_2490,0,0.0115,0.0038,0.357,0.0748,0.0844,0.468,0.0001,0.0001,0.0002,0.0001
s_segment_1_2506,0.007,0.0399,0.0406,0.5156,0.0051,0.001,0.2297,0.0323,0.11,0.0024,0.0164
s_segment_1_2519,0.0014,0.0069,0.1401,0.0026,0.0001,0.0385,0.301,0.4083,0.0031,0.0912,0.0068
s_segment_1_2597,0.0002,0.0302,0.0001,0.6586,0.0003,0,0.302,0.0001,0.0079,0.0004,0.0002
s_segment_1_2603,0.0001,0,0.01,0.8556,0.0005,0.0001,0.0001,0,0.1335,0,0.0001
s_segment_1_2794,0.0001,0,0.0129,0.6986,0.0001,0.0006,0.0018,0.2849,0,0.001,0
s_segment_1_2797,0.0013,0.036,0.1192,0.7873,0.0003,0.0047,0.0001,0.0046,0.0444,0.0008,0.0013
s_segment_1_2800,0.0192,0.0269,0.0337,0.303,0,0.0412,0.0753,0.1084,0.0055,0.384,0.0028
s_segment_1_2821,0.0001,0.0016,0.0073,0.8353,0.0001,0.0134,0.0009,0.1362,0.0031,0.0019,0.0001
s_segment_1_2841,0.0004,0.0016,0,0.5057,0.028,0.0003,0.066,0.3965,0.0009,0.0001,0.0005
s_segment_1_2908,0,0.001,0.0001,0.8378,0,0.0079,0.0001,0.1531,0,0,0
s_segment_1_2909,0.0002,0.0179,0.0228,0.4995,0.0068,0.0326,0.0074,0.4084,0.0001,0,0.0043
s_segment_1_2943,0.0002,0.0003,0.0005,0.2437,0.0047,0.0228,0.4122,0.0001,0,0.3155,0
s_segment_1_2947,0.0107,0.0447,0.1027,0.1492,0,0.2241,0.3759,0.0324,0.0273,0.0278,0.0052
s_segment_1_2989,0.139,0.0006,0.0023,0.5543,0.0001,0,0.2089,0.0006,0.0081,0.0837,0.0024
s_segment_1_3014,0.0001,0.0001,0.0792,0.8494,0.0019,0,0.0002,0.0003,0,0.0353,0.0335
s_segment_1_3027,0.0001,0.0857,0.0001,0.3364,0.0008,0.4305,0.036,0.0038,0.0464,0.0016,0.0586
s_segment_1_3032,0.0005,0.0942,0.0116,0.2809,0.0022,0.0019,0.0027,0.5515,0.0509,0.002,0.0016
s_segment_1_3049,0.0323,0.0017,0.0004,0.2782,0.1001,0.0016,0.1107,0.4745,0.0001,0.0002,0.0002
s_segment_1_3051,0.0012,0.0017,0,0.6276,0.0901,0.0123,0.0345,0.0006,0.0026,0.2278,0.0016
s_segment_1_307,0.0052,0.0022,0.0041,0.4938,0.0002,0.0011,0.1169,0.0259,0.2178,0.004,0.1288
s_segment_1_3109,0.0153,0.0002,0,0.0002,0.0008,0.0601,0.4702,0.2334,0.0689,0.1386,0.0123
s_segment_1_3142,0,0.0631,0,0.7022,0.0005,0.179,0.0131,0.0001,0.0219,0.0026,0.0175
s_segment_1_3188,0.0009,0.174,0.0092,0.3572,0.0019,0.2984,0.0006,0.0119,0,0.1455,0.0004
s_segment_1_324,0.007,0.0006,0.0003,0.788,0,0.0109,0.0003,0.0004,0.0297,0.1432,0.0196
s_segment_1_3268,0.0001,0.0013,0.0011,0.8801,0,0.0001,0,0.115,0.002,0.0002,0.0001
s_segment_1_3272,0.0002,0.0021,0,0.2556,0.1449,0.3166,0.2467,0.0032,0.0303,0.0004,0
s_segment_1_3290,0,0.0001,0.0035,0.574,0.0001,0.3939,0.0001,0.0036,0.0029,0.0218,0
s_segment_1_3298,0,0.004,0.0001,0.5733,0.0006,0,0.3791,0.0147,0.0281,0,0.0001
s_segment_1_3338,0.0188,0.014,0.0683,0.5109,0.0006,0,0.0023,0.3683,0.0008,0.0154,0.0006
s_segment_1_3370,0,0.0001,0.0048,0.8922,0.0003,0.0322,0.0039,0.0013,0,0.0647,0.0005
s_segment_1_3385,0.0001,0.0012,0.0001,0.1076,0,0.0001,0.3237,0.5587,0.0001,0.0079,0.0005
s_segment_1_3388,0.0145,0.0015,0.0003,0.3726,0,0.2969,0.0013,0.0015,0.0009,0.2901,0.0204
s_segment_1_3429,0.0964,0.0044,0.0007,0.3756,0.0003,0.3421,0.0334,0.0204,0.1105,0.0003,0.0159
s_segment_1_3434,0,0.0623,0.0784,0.3212,0.0048,0.1962,0.0622,0.1309,0.0876,0.0552,0.0012
s_segment_1_3455,0.0001,0.108,0.028,0.5455,0,0.1559,0.017,0.0361,0.1093,0,0.0001
s_segment_1_3460,0.0144,0,0.0003,0.3529,0.0155,0.0004,0.3053,0.1311,0.1737,0,0.0064
s_segment_1_3463,0,0,0.0004,0.9877,0,0.0001,0.0001,0,0.0001,0.0048,0.0068
s_segment_1_348,0.0005,0.0036,0.001,0.3397,0.0075,0.0012,0.1546,0.4508,0.0011,0.0009,0.0391
s_segment_1_3518,0.1638,0.0145,0.0009,0.3533,0.0016,0.0235,0.0036,0.433,0.0008,0.0001,0.0049
s_segment_1_3523,0,0.0443,0,0.1301,0.0001,0.064,0.0047,0.5539,0.2013,0.0014,0.0002
s_segment_1_3580,0,0,0.0001,0.2305,0.0014,0.3252,0.442,0,0.0008,0,0
s_segment_1_3585,0.0042,0.0001,0,0.8831,0,0,0.0068,0,0.0233,0.0802,0.0023
s_segment_1_3610,0.0308,0.1227,0.0205,0.5716,0.0032,0.0135,0.1866,0.0203,0.0061,0.0104,0.0143
s_segment_1_3614,0.0002,0,0.0001,0.0001,0.0006,0.0004,0.385,0.4462,0.1674,0,0
s_segment_1_3630,0.0105,0.0763,0.0004,0.0038,0.0027,0.0882,0.1849,0.4304,0.0003,0.1931,0.0094
s_segment_1_3706,0.02,0.0002,0.0137,0.6994,0.0001,0.2063,0.0216,0.0001,0.0006,0.0001,0.0379
s_segment_1_3709,0.0015,0.0158,0.0138,0.3518,0.0827,0.014,0.2343,0.0047,0.0932,0.154,0.0342
s_segment_1_3711,0.002,0.0012,0.0394,0.5689,0.0002,0.0002,0.0083,0.1016,0.278,0.0001,0.0001
s_segment_1_3712,0.0057,0.001,0.0635,0.3571,0.0002,0.0009,0.3067,0.2532,0.0007,0.0017,0.0093
s_segment_1_3733,0.0011,0.026,0.0033,0.0047,0.0085,0.0803,0.2969,0.3316,0.0745,0.17,0.0031
s_segment_1_3764,0.0023,0.044,0.0781,0.1723,0.0325,0.1234,0.2953,0.0243,0.007,0.215,0.0058
s_segment_1_3782,0,0.0038,0.0002,0.9196,0.0001,0.0387,0.0297,0.0007,0,0,0.0072
s_segment_1_3784,0.0013,0.0001,0.0011,0.1006,0.0006,0.0163,0.3668,0.3338,0.1794,0,0
s_segment_1_3799,0.0002,0.0112,0.0005,0.4576,0.0001,0.0001,0.0008,0.5272,0,0,0.0023
s_segment_1_380,0,0.0125,0,0.4443,0.0005,0.5097,0.0001,0.0013,0.0003,0.0001,0.0312
s_segment_1_3802,0.0208,0.1742,0.0037,0.3573,0.0056,0.0001,0.0493,0.3597,0.0001,0.0002,0.029
s_segment_1_3815,0.0532,0.0019,0.0184,0.3592,0.0003,0.0004,0.0004,0.2904,0.1496,0.1262,0
s_segment_1_3830,0.0001,0.0062,0.0001,0.8292,0.0007,0.0002,0,0,0.1631,0.0001,0.0003
s_segment_1_3871,0,0.0009,0.0001,0.9031,0,0,0.0663,0.0011,0,0.0156,0.0129
s_segment_1_3893,0,0.0001,0,0.7577,0.0126,0,0.0128,0.0003,0.2163,0.0001,0.0001
s_segment_1_39,0,0.0001,0,0.9762,0.0001,0,0.0001,0.0046,0,0.0188,0.0001
s_segment_1_3948,0.0064,0.0546,0.0266,0.3419,0.0005,0.0008,0.0617,0.2618,0.0071,0.2337,0.0049
s_segment_1_3975,0.0015,0.0003,0.0015,0.5982,0.001,0.0013,0.0019,0.1557,0.2362,0,0.0024
s_segment_1_3977,0,0,0,0.7783,0.0393,0.1541,0.0001,0.0134,0,0.0148,0
s_segment_1_3991,0.0016,0.0861,0.0022,0.4507,0.0234,0.0002,0.0034,0.2935,0.131,0.0031,0.0048
s_segment_1_3999,0.041,0,0.0005,0.4672,0.0119,0.4243,0.0017,0.0003,0.0529,0.0002,0
s_segment_1_4041,0.0015,0.0079,0,0.0877,0.0417,0.3877,0.0349,0.3149,0.0005,0.1231,0.0001
s_segment_1_406,0,0.0432,0.0001,0.8783,0.0419,0.0006,0.0041,0.0001,0,0.0002,0.0315
s_segment_1_4060,0.1263,0.0101,0.0133,0.4527,0.0603,0.2342,0.0021,0.0689,0.0217,0.0056,0.0048
s_segment_1_4083,0.0001,0.1102,0.0001,0.1778,0.0013,0,0.1623,0.3358,0.2087,0.0011,0.0026
s_segment_1_411,0.009,0.0003,0.0003,0.5562,0.0578,0.3379,0.0347,0.0001,0.0022,0.0007,0.0008
s_segment_1_4130,0.0024,0.1404,0.0004,0.1836,0.0015,0.062,0.0043,0.383,0.1985,0.0234,0.0005
s_segment_1_4195,0.007,0.0089,0.0032,0.1688,0.0011,0.2176,0.0031,0.2766,0.0017,0.2879,0.0241
s_segment_1_4277,0.0059,0.0095,0.0006,0.0315,0.01,0.4895,0.0426,0.3393,0.0462,0.0234,0.0015
s_segment_1_4293,0.0003,0.0053,0.0027,0.9296,0.0005,0.0037,0.0059,0.048,0.0001,0.0038,0.0001
s_segment_1_4296,0.0001,0,0,0.6606,0.0001,0.0002,0.3174,0.014,0,0.0076,0
s_segment_1_4319,0.0001,0.0001,0.0452,0.9295,0,0,0.0005,0,0,0.0245,0.0001
s_segment_1_4357,0,0.0035,0,0.7261,0,0.0003,0,0.0076,0.2549,0.0075,0.0001
s_segment_1_4359,0.0025,0.0168,0,0.7558,0.0043,0.075,0,0.1431,0,0.0001,0.0024
s_segment_1_4376,0.0008,0.0002,0.0027,0.8377,0,0.0568,0.0002,0.0032,0.0001,0.0685,0.0298
s_segment_1_4377,0.0017,0.0003,0.0099,0.8126,0.0039,0.0004,0.0531,0.0453,0.0724,0,0.0004
s_segment_1_4384,0.0021,0.0028,0,0.4834,0.0271,0.0651,0,0.419,0.0001,0.0001,0.0003
s_segment_1_4442,0.0002,0,0.047,0.7084,0,0.004,0.0031,0.1732,0.0114,0.0526,0.0001
s_segment_1_4512,0.0001,0,0,0.2721,0.0073,0.2953,0.0003,0.0497,0.3741,0.0005,0.0006
s_segment_1_4547,0.0001,0.0014,0.0002,0.6118,0.0013,0.1983,0.0001,0.085,0.0568,0.045,0
s_segment_1_4563,0.0012,0.0001,0.0004,0.4732,0,0.4895,0.0049,0.0004,0,0.0007,0.0296
s_segment_1_460,0.1311,0.0001,0.0633,0.527,0.0188,0.0015,0.039,0.142,0.0005,0.0002,0.0765
s_segment_1_4603,0.0009,0.0035,0,0.6001,0.0641,0.0015,0.22,0.0006,0.0034,0.0012,0.1047
s_segment_1_4626,0,0.0191,0.0008,0.542,0,0.4283,0,0.0001,0,0.0097,0
s_segment_1_4628,0.0005,0,0.0008,0.8647,0,0.0697,0.0002,0.0064,0.048,0.0071,0.0026
s_segment_1_4644,0.0001,0.0025,0,0.6033,0.0222,0.0066,0.0957,0.2253,0.0442,0.0001,0
s_segment_1_4680,0.0002,0.0011,0.2694,0.3666,0.0596,0.0117,0.0651,0.1894,0.0141,0.0227,0.0001
s_segment_1_4685,0.0318,0.0012,0.0191,0.9242,0.0004,0.0015,0.0029,0.0038,0.002,0.0112,0.0019
s_segment_1_479,0.0066,0.0179,0.0154,0.2061,0.0099,0.0465,0.2293,0.2737,0.0027,0.0566,0.1353
s_segment_1_4796,0,0.0001,0.0001,0.218,0,0.5719,0.0478,0.1392,0,0,0.0229
s_segment_1_4804,0.0796,0.0025,0.0085,0.389,0.006,0.0006,0.0176,0.4215,0.0189,0.0228,0.033
s_segment_1_4843,0.0001,0.0004,0.0001,0.6256,0.1485,0.1346,0.0833,0.0001,0,0.0072,0.0001
s_segment_1_4852,0.1488,0,0.0006,0.5241,0.0019,0.0035,0.0026,0.3184,0.0001,0,0
s_segment_1_4863,0.0474,0.0199,0.0127,0.3258,0.0061,0.0038,0.0001,0.5701,0.0085,0.0051,0.0005
s_segment_1_4898,0.0328,0.0017,0.0123,0.2445,0.0177,0.0078,0.1764,0.4551,0.0112,0.0114,0.0291
s_segment_1_496,0.0335,0.0602,0.0012,0.7268,0.0011,0.032,0.099,0.0005,0.0106,0.0054,0.0297
s_segment_1_4960,0.0015,0.1688,0.0499,0.3897,0.1069,0.0344,0.0378,0.1623,0.014,0.0334,0.0013
s_segment_1_4968,0.0017,0.0057,0.0034,0.5429,0.0014,0.3119,0.0747,0.0059,0.0014,0.0488,0.0022
s_segment_1_497,0.0352,0.0205,0.0153,0.7582,0.0377,0.0017,0.0002,0.1305,0.0001,0.0003,0.0003
s_segment_1_4982,0.0182,0,0,0.2798,0.0002,0.0082,0.3393,0.0002,0.2816,0.0088,0.0637
s_segment_1_4991,0.0017,0,0.1433,0.7159,0,0.0558,0.0123,0.0001,0.0035,0.0674,0
s_segment_1_4994,0.0005,0.0008,0.0835,0.6508,0.0408,0.0843,0.0005,0.1302,0.0012,0.0026,0.0048
s_segment_1_51,0.0074,0.0014,0.0006,0.406,0.0251,0.0002,0.4168,0.0788,0.046,0.0171,0.0006
s_segment_1_534,0,0.0005,0,0.8,0.0068,0.0006,0.0561,0.1359,0,0.0001,0
s_segment_1_551,0.0001,0.0001,0.0004,0.6784,0.0003,0.0009,0.0065,0.1819,0.0528,0.0373,0.0413
s_segment_1_558,0.0399,0.0168,0.0066,0.1071,0.1457,0.0022,0.2905,0.2705,0.106,0.0025,0.0122
s_segment_1_575,0.0008,0.0039,0.0124,0.5728,0.0295,0.0109,0.0936,0.0281,0.0302,0.0812,0.1366
s_segment_1_590,0.048,0.0002,0.0018,0.6951,0.0002,0.0001,0.0001,0.1328,0.0097,0.1006,0.0114
s_segment_1_609,0.0049,0.0098,0.0755,0.3724,0.0045,0.0078,0.3177,0.0002,0.0019,0.2045,0.0008
s_segment_1_632,0.0012,0.0001,0,0.5021,0,0,0.4815,0,0,0.0151,0
s_segment_1_634,0.0301,0.1617,0.0185,0.5119,0.0456,0.0008,0.2015,0.0033,0.0129,0.0064,0.0073
s_segment_1_667,0.0524,0.0454,0,0.8814,0.0159,0,0.0003,0.0003,0,0.0042,0.0001
s_segment_1_671,0,0.0007,0.0564,0.797,0.004,0.0562,0.0005,0.0007,0.0624,0.0219,0.0002
s_segment_1_673,0.0023,0.0064,0.0007,0.3288,0.0211,0.0007,0.0008,0.5374,0.0348,0.0655,0.0015
s_segment_1_686,0.0001,0,0,0.8093,0,0,0.1892,0.0001,0.0013,0,0
s_segment_1_688,0.0008,0.0023,0.0004,0.7096,0.1767,0.0565,0.0002,0.0473,0.004,0.0022,0
s_segment_1_689,0,0.0001,0.003,0.1496,0.0006,0.0152,0.138,0.2819,0,0.3976,0.014
s_segment_1_69,0.0001,0.0004,0.0127,0.0036,0.0002,0.1945,0.0881,0.6995,0.0005,0.0001,0.0003
s_segment_1_7,0.0091,0.1284,0.0012,0.7697,0,0.0067,0.0008,0.0087,0.0108,0.0044,0.0602
s_segment_1_742,0.0055,0.0022,0.0131,0.4298,0.0057,0.0018,0.1373,0.2567,0.0952,0.0017,0.051
s_segment_1_754,0.0013,0,0,0.5299,0.0001,0.0015,0,0.0876,0.0261,0.3535,0
s_segment_1_765,0.0017,0.0245,0.0019,0.5426,0.0864,0.068,0.0857,0.0015,0.0072,0.1784,0.0021
s_segment_1_768,0.0159,0,0,0.3069,0.0002,0.5001,0.0001,0.013,0.118,0.0001,0.0457
s_segment_1_877,0.0035,0.0015,0.0736,0.4367,0.0001,0,0.0002,0.273,0,0.1286,0.0828
s_segment_1_911,0.0069,0,0.186,0.7859,0,0.0001,0.0001,0.0208,0.0001,0,0.0001
s_segment_1_919,0.0151,0.0004,0.0009,0.7578,0.0003,0.0009,0.0752,0.1153,0.0008,0.0003,0.033
s_segment_1_937,0.0002,0,0.0002,0.7599,0.0082,0.0006,0.0545,0.0969,0.0793,0,0.0002
s_segment_1_992,0.0021,0.0011,0.0001,0.7316,0.0003,0.1384,0.0003,0.0174,0.0001,0.1084,0.0002
s_segment_2_1001,0,0.0003,0.0001,0,0,0.0007,0.2484,0.4263,0,0.3241,0.0001
s_segment_2_1003,0.001,0.0636,0,0.4093,0,0.0001,0.1654,0.3574,0.0031,0,0.0001
s_segment_2_1098,0.0024,0.0008,0.003,0.4379,0.1109,0.3589,0.0295,0.024,0.0083,0.0195,0.0048
s_segment_2_112,0.1058,0.0026,0.0334,0.5428,0.0028,0.2225,0.0059,0.0572,0.001,0.0239,0.0021
s_segment_2_1147,0.0004,0.0037,0.0002,0.5057,0.0003,0.0006,0.0079,0.4286,0.0001,0.0294,0.0231
s_segment_2_1180,0.0006,0.0014,0.0005,0.8159,0.0294,0.0004,0.0467,0.0001,0.1048,0.0001,0.0001
s_segment_2_1196,0,0.0123,0.0001,0.5211,0.0009,0.0078,0.3941,0.0013,0.0427,0.0039,0.0158
s_segment_2_1227,0.0007,0.0077,0.0004,0.5527,0,0.0228,0.006,0.3731,0.0299,0.0062,0.0005
s_segment_2_1254,0.0013,0,0.0001,0.5563,0,0.0003,0.0784,0.3625,0,0.0011,0
s_segment_2_1256,0,0.0023,0.007,0.7955,0.0001,0.0002,0.0207,0,0.0001,0.1205,0.0536
s_segment_2_1258,0.0063,0.0001,0.0405,0.6057,0.0011,0.3022,0.032,0.0002,0,0.008,0.0039
s_segment_2_1264,0.0174,0.0014,0.0005,0.6815,0.0871,0,0.0815,0.1205,0,0.0023,0.0078
s_segment_2_127,0.0001,0.0014,0,0.8921,0,0.0001,0.0002,0.0117,0.0942,0.0002,0
s_segment_2_1281,0.0034,0.0001,0.0009,0.765,0.0001,0.1361,0.004,0.069,0.0075,0.0013,0.0126
s_segment_2_1291,0.0235,0.0036,0.2937,0.43,0,0.0002,0.2243,0.0004,0,0.0007,0.0236
s_segment_2_1296,0.0071,0.0051,0.0015,0.5259,0.0007,0.0002,0.0373,0.4166,0.0019,0.0036,0.0001
s_segment_2_1297,0.0001,0.0097,0.0038,0.6789,0.0222,0.026,0.0004,0.2079,0.0161,0.0346,0.0003
